Title,Author,Publisher,Publish Date,Price,Rating,Review Count,Detail URL
요즘 바이브 코딩 깃허브 코파일럿 31가지 프로그램 만들기,박현규,골든래빗,2025년 12월,21600,10.0,4,https://www.yes24.com/product/goods/167428992
"어쨌든, 바이브 코딩",코다프레스/양희은 역,인사이트(insight),2025년 12월,19800,10.0,33,https://www.yes24.com/product/goods/168561327
AI 프로토타이핑 실전,김성박,루비페이퍼,2025년 12월,25200,10.0,4,https://www.yes24.com/product/goods/169641363
"요즘 AI 에이전트 개발, LLM RAG ADK MCP LangChain A2A LangGraph",박승규,골든래빗,2025년 08월,28800,0.0,0,https://www.yes24.com/product/goods/150701473
수노로 시작하는 AI 작곡,"강성우, 한나래",제이펍,2025년 12월,18000,10.0,3,https://www.yes24.com/product/goods/168840773
팔리는 블로그 & SNS 글쓰기 with 챗GPT,홍순성,한빛미디어,2025년 12월,22500,10.0,11,https://www.yes24.com/product/goods/167694445
올라마와 오픈소스 LLM을 활용한 AI 에이전트 개발 입문,"서영배, 김병규, 임재봉",위키북스,2026년 01월,25200,0.0,0,https://www.yes24.com/product/goods/168727208
인공지능이 다 해주는 브루 Vrew 영상 편집,지현이/브루 개발팀 감수,시프트,2024년 10월,18000,9.7,19,https://www.yes24.com/product/goods/133823740
프롬프트를 만드는 프롬프트 GPTs & Gems,"민진홍, 국난아, 김진수",성안당,2025년 12월,24300,9.9,26,https://www.yes24.com/product/goods/169672758
리더는 AI에게 질문하지 않는다,김희연,북피움,2026년 01월,20700,0.0,0,https://www.yes24.com/product/goods/168871803
나는 오렌지3로 인공지능한다,"장병철, 서미란, 박지훈, 정종호",씨마스,2025년 12월,20700,9.9,23,https://www.yes24.com/product/goods/167452848
현직교사가 만든 가장 쉬운 캔바 수업 활용! 캔바로 무엇이든 만들 수 있다,"이서영, 유상숙, 양지현, 이상현",광문각출판미디어,2025년 11월,19000,9.8,38,https://www.yes24.com/product/goods/165325500
누구나 아는 나만 모르는 제미나이,이성원,한빛미디어,2026년 01월,17100,0.0,0,https://www.yes24.com/product/goods/172517063
된다! 하루 만에 만드는 AI 사진 & 이미지,김원석,이지스퍼블리싱,2025년 08월,16020,10.0,40,https://www.yes24.com/product/goods/151780100
데이터를 읽는 사람은 언제나 강하다,노무라종합연구소 데이터사이언스랩/전선영 역,머스트리드북,2024년 11월,15300,9.1,15,https://www.yes24.com/product/goods/138550170
제로클릭,손승완,길벗,2026년 01월,16920,9.6,11,https://www.yes24.com/product/goods/171566846
챗GPT와 함께 하는 SNS 셀프마케팅 & 브랜딩,이보영,휴먼하우스,2025년 11월,18900,10.0,1,https://www.yes24.com/product/goods/164773674
콘텐츠 디자인은 피그마 with AI,김선영,골든래빗,2025년 08월,23400,10.0,8,https://www.yes24.com/product/goods/150110126
AI 자율학습 밑바닥부터 배우는 AI 에이전트,다비드스튜디오,길벗,2025년 12월,21600,9.5,8,https://www.yes24.com/product/goods/167584729
현직교사가 만든 가장 쉬운 미리캔버스 수업 활용! MiriCanvas(미리캔버스)로 무엇이든 만들 수 있다,"김동은, 김효민, 박채린, 이희정, 임준열",광문각출판미디어,2025년 12월,21000,10.0,9,https://www.yes24.com/product/goods/170378306
AI로 7일 만에 사업 시작하기,김다솔,길벗,2025년 06월,19800,9.2,51,https://www.yes24.com/product/goods/146828776
파이썬으로 시작하는 인공지능 기초 수업,"채상미, 우범윤, 이준용",길벗,2025년 11월,22500,0.0,0,https://www.yes24.com/product/goods/167430900
열정민쌤의 챗GPT&AI 수업 실전서,"원정민, 권혜영, 신명진, 이채연",한빛미디어,2025년 05월,18000,9.8,40,https://www.yes24.com/product/goods/146143006
핸즈온 LLM,"제이 알아마르, 마르턴 흐루턴도르스트/박해선 역",한빛미디어,2025년 06월,34200,9.7,21,https://www.yes24.com/product/goods/146828240
핸즈온 머신러닝,오렐리앙 제롱/박해선 역,한빛미디어,2023년 09월,54000,9.7,39,https://www.yes24.com/product/goods/122338517
생성형 AI 활용 백과사전,"다쿠치 카즈히로, 모리시마 료코, 이시타니 마사키/서수환 역",길벗,2025년 06월,21600,9.7,49,https://www.yes24.com/product/goods/147626022
한 걸음 앞선 개발자가 지금 꼭 알아야 할 클로드 코드,"조훈, 정찬훈",길벗,2025년 09월,23400,8.9,18,https://www.yes24.com/product/goods/152379887
AI 광고 제작,"문수민, 민지영, 전은재, 최종수, 앤미디어",길벗,2025년 09월,24300,9.8,41,https://www.yes24.com/product/goods/151980353
MCP 실전 활용 & 서버 개발 핵심 가이드,AI튜터랩,위키북스,2025년 11월,25200,10.0,1,https://www.yes24.com/product/goods/162224477
문과의 언어로 풀어낸 AI 필수 용어 56,남규택,파이돈,2025년 10월,11700,0.0,0,https://www.yes24.com/product/goods/155060003
LLM을 활용한 실전 AI 애플리케이션 개발,허정준/정진호 그림/박재호 감수,책만,2024년 07월,28800,9.3,30,https://www.yes24.com/product/goods/129081594
기술·가정 교사가 만든 기술·가정 교사를 위한 찐 실전 챗GPT (생성형 AI (에듀테크) 기술·가정 수업 활용하기!),"봉우리, 이호준, 윤지원, 김보정",광문각출판미디어,2025년 08월,17000,10.0,11,https://www.yes24.com/product/goods/152399336
"요즘 바이브 코딩 v0 + 커서 입문 PRD 기획·개발·배포, 일주일 완성",김동학,골든래빗,2026년 01월,25200,10.0,5,https://www.yes24.com/product/goods/168451090
연필과 종이로 풀어보는 AI 딥러닝 수학 워크북 214제,톰 예,아티오,2025년 12월,17100,0.0,0,https://www.yes24.com/product/goods/167144757
혁펜하임의 Easy! 딥러닝,혁펜하임,북엔드,2024년 11월,31500,9.9,31,https://www.yes24.com/product/goods/139734696
Do it! 커서로 시작하는 AI 코딩 입문,고경희,이지스퍼블리싱,2025년 09월,20700,9.9,17,https://www.yes24.com/product/goods/154286556
